name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genre,related_artists
In The Wee Small Hours Of The Morning - Remastered 1998,In The Wee Small Hours,Frank Sinatra,1955,180933,55,0.855,0.292,0.0873,0.000845,0.109,-16.121,0.0353,118.258,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Mood Indigo - Remastered,In The Wee Small Hours,Frank Sinatra,1955,210066,38,0.824,0.344,0.0861,0.000737,0.373,-17.067,0.0336,130.764,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Glad To Be Unhappy - Remastered,In The Wee Small Hours,Frank Sinatra,1955,155493,32,0.902,0.503,0.0342,0.0,0.0928,-17.64,0.0393,126.917,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
I Get Along Without You Very Well - Remastered,In The Wee Small Hours,Frank Sinatra,1955,222600,32,0.8,0.206,0.0613,1.11e-05,0.323,-20.376,0.035,87.627,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Deep In A Dream - Remastered,In The Wee Small Hours,Frank Sinatra,1955,169373,32,0.937,0.272,0.0653,0.00161,0.162,-18.691,0.0345,86.975,3,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
I See Your Face Before Me - Remastered,In The Wee Small Hours,Frank Sinatra,1955,204026,29,0.834,0.179,0.097,2.74e-05,0.316,-17.153,0.0335,70.94,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Can't We Be Friends? - Remastered,In The Wee Small Hours,Frank Sinatra,1955,168040,29,0.911,0.494,0.0504,0.0,0.109,-16.794,0.0418,104.52,3,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
When Your Lover Has Gone - Remastered,In The Wee Small Hours,Frank Sinatra,1955,190200,28,0.86,0.184,0.0671,5.46e-05,0.0712,-17.541,0.0359,177.771,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
What Is This Thing Called Love - Remastered,In The Wee Small Hours,Frank Sinatra,1955,155560,30,0.86,0.276,0.135,0.000925,0.334,-16.029,0.0354,120.356,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Last Night When We Were Young - Remastered,In The Wee Small Hours,Frank Sinatra,1955,197133,31,0.847,0.245,0.097,2.28e-05,0.123,-15.808,0.0357,89.499,3,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
I'll Be Around - Remastered,In The Wee Small Hours,Frank Sinatra,1955,179200,28,0.947,0.421,0.0301,0.0,0.117,-17.979,0.0332,73.182,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Ill Wind - Remastered,In The Wee Small Hours,Frank Sinatra,1955,226306,26,0.903,0.319,0.0967,0.000135,0.0818,-16.826,0.0332,66.569,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
It Never Entered My Mind - Remastered,In The Wee Small Hours,Frank Sinatra,1955,162226,28,0.966,0.25,0.109,0.000304,0.108,-17.916,0.0326,100.385,1,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Dancing On The Ceiling - Remastered,In The Wee Small Hours,Frank Sinatra,1955,177333,26,0.921,0.439,0.0926,0.0,0.152,-15.841,0.0363,134.444,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
I'll Never Be The Same - Remastered,In The Wee Small Hours,Frank Sinatra,1955,185866,26,0.975,0.218,0.15,0.00135,0.124,-15.529,0.0338,92.076,3,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
This Love Of Mine - 1998 Remastered,In The Wee Small Hours,Frank Sinatra,1955,213933,27,0.822,0.162,0.149,1.35e-05,0.129,-15.801,0.0336,86.356,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Blue Suede Shoes,Elvis Presley,Elvis Presley,1956-03-23,119200,65,0.654,0.557,0.66,1.66e-06,0.138,-7.706,0.056,95.252,4,rock-and-roll,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
I'm Counting on You,Elvis Presley,Elvis Presley,1956-03-23,143213,32,0.894,0.496,0.163,0.0,0.109,-12.541,0.0383,135.638,3,rock-and-roll,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
I Got a Woman,Elvis Presley,Elvis Presley,1956-03-23,144213,42,0.701,0.617,0.77,0.0,0.349,-10.331,0.0455,122.284,4,rock-and-roll,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
One-Sided Love Affair,Elvis Presley,Elvis Presley,1956-03-23,129479,35,0.697,0.628,0.79,0.0,0.255,-7.458,0.0619,94.856,4,rock-and-roll,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
I Love You Because,Elvis Presley,Elvis Presley,1956-03-23,159826,36,0.891,0.384,0.082,0.0,0.0845,-14.678,0.0356,80.079,4,rock-and-roll,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Just Because,Elvis Presley,Elvis Presley,1956-03-23,151680,33,0.466,0.723,0.582,4.24e-06,0.202,-10.593,0.0474,128.274,4,rock-and-roll,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
