artist,related_artists
!!!,"['Hanni und Nanni', 'Kati & Azuro', 'Kira Kolumna', 'TKKG Junior', 'Hexe Lilli', 'Meine Freundin Conni', 'Die Punkies', 'Teufelskicker', 'Bibi Blocksberg', 'Bibi und Tina', 'Die Schule der magischen Tiere', 'TKKG', 'Conni', 'Benjamin Blümchen', 'ViktoriaSarina', 'Die Schlümpfe', 'Pippi Langstrumpf']"
$NOT,"['DJ Scheme', 'Cochise', 'Jasiah', 'Comethazine', 'SSGKobe', 'ZillaKami', 'DC The Don', 'TOKYO’S REVENGE', 'Wifisfuneral', 'City Morgue', 'Ski Mask The Slump God', 'Lil Gnar', 'Pi’erre Bourne', 'Xavier Wulf', 'Night Lovell', 'Eem Triplin', 'SoFaygo', 'Dro Kenji', 'Mike Dimes', 'midwxst']"
$ean Wire,"['Ghostface Killah', 'Bas', 'Teyana Taylor', 'Sickick', 'Method Man', 'Wale', 'Erykah Badu', 'Trey Songz', 'Rick Ross', 'Ty Dolla $ign', 'Summer Walker', 'PARTYNEXTDOOR', 'Whitney Houston', 'Childish Gambino', 'Najee Janey', 'Milkshaw Benedict', 'Sebastian Mikael', 'Lord Felix', 'Jiles', 'Bella Alubo']"
'Til Tuesday,"['Missing Persons', 'The Motels', 'Ric Ocasek', 'Animotion', 'The Fixx', 'General Public', 'Quarterflash', 'Modern English', 'Naked Eyes', 'The Power Station', 'The Dream Academy', 'Thomas Dolby', 'Romeo Void', 'Adam Ant', 'Corey Hart', 'Bow Wow Wow', 'Berlin', 'Wang Chung', 'Thompson Twins', ""The Go-Go's""]"
*NSYNC,"['98º', 'O-Town', 'New Kids On The Block', 'Backstreet Boys', 'Five', 'Hanson', 'Aaron Carter', 'Nick Carter', 'Savage Garden', 'Mandy Moore', 'S Club', 'Spice Girls', 'Boyzone', 'Jessica Simpson', 'Nick Lachey', 'M2M', 'A1', 'Jesse McCartney', 'All-4-One', 'B*Witched']"
...And You Will Know Us by the Trail of Dead,"['Sparta', 'Les Savy Fav', 'Rival Schools', 'At the Drive-In', 'Q And Not U', 'Pretty Girls Make Graves', 'These Arms Are Snakes', 'Drive Like Jehu', 'Mclusky', 'Hot Snakes', 'Dismemberment Plan', 'Cursive', 'Jawbox', 'Cave In', 'Archers Of Loaf', 'Quicksand', 'The Blood Brothers', 'Shellac', 'Conrad Keely', 'Sebadoh']"
"10,000 Maniacs","['Natalie Merchant', 'Edie Brickell & New Bohemians', 'Indigo Girls', 'Edie Brickell', 'Toad The Wet Sprocket', 'Lisa Loeb & Nine Stories', 'Cowboy Junkies', 'Shawn Colvin', 'Lisa Loeb', 'Melissa Etheridge', 'Suzanne Vega', ""'Til Tuesday"", 'The Smithereens', 'Joan Osborne', 'Sarah McLachlan', 'Gin Blossoms', 'Paula Cole', 'Concrete Blonde', 'k.d. lang', 'Jewel']"
1000 Homo DJs,"['Revolting Cocks', 'Pailhead', 'Chris Connelly', 'Pigface', 'The Electric Hellfire Club', 'Lard', 'Lead into Gold', 'Sister Machine Gun', 'My Life With The Thrill Kill Kult', 'PIG', 'En Esch', 'MDFMK', 'Excessive Force', 'cEvin Key', 'Chemlab', 'ohGr', 'Surgical Meth Machine', 'Die Warzau', 'Spahn Ranch', 'Machines Of Loving Grace']"
10cc,"['Godley & Creme', 'Gerry Rafferty', 'Al Stewart', ""Manfred Mann's Earth Band"", ""Gilbert O'Sullivan"", 'Leo Sayer', 'Wings', 'Stealers Wheel', 'Manfred Mann', 'Procol Harum', 'The Moody Blues', 'David Essex', 'Jeff Lynne', 'Sweet', 'Roxy Music', 'Robert Palmer', 'Hot Chocolate', 'Electric Light Orchestra', 'Dr. Hook', 'Slade']"
13th Floor Elevators,"['The Seeds', 'The Electric Prunes', 'The Chocolate Watchband', 'Roky Erickson', 'Count Five', 'The West Coast Pop Art Experimental Band', 'The Pretty Things', 'Love', 'Kaleidoscope', 'Ultimate Spinach', 'The Sonics', 'Strawberry Alarm Clock', 'MC5', 'Captain Beefheart & His Magic Band', 'The Monks', 'Blue Cheer', ""Flamin' Groovies"", 'Syd Barrett', 'Moby Grape', 'The Blues Magoos']"
2 Chainz,"['Juicy J', 'Yo Gotti', 'Waka Flocka Flame', 'Gucci Mane', 'Rick Ross', 'Mike WiLL Made-It', 'Rich Homie Quan', 'Young Money', 'YG', 'French Montana', 'Meek Mill', 'Ace Hood', 'Wale', 'Big Sean', 'Jeezy', 'A$AP Ferg', 'T.I.', 'Birdman', 'Desiigner', 'O.T. Genasis']"
2 LIVE CREW,"['Tone-Loc', '69 Boyz', 'Rob Base & DJ EZ Rock', 'Wreckx-N-Effect', 'Fat Boys', ""Kid 'N Play"", 'Kool Moe Dee', 'Digital Underground', 'Doug E. Fresh', '95 South', 'Young MC', 'Whodini', 'Heavy D & The Boyz', 'DJ Magic Mike', 'Gucci Crew II', 'Heavy D', 'Biz Markie', 'Sir Mix-A-Lot', 'Marky Mark And The Funky Bunch', 'Kris Kross']"
21 Savage,"['Metro Boomin', 'Gunna', 'Young Thug', 'Future', 'Offset', 'Lil Yachty', 'Playboi Carti', 'Quavo', 'Lil Uzi Vert', 'Don Toliver', 'Kodak Black', 'Migos', 'Lil Baby', 'Baby Keem', 'Trippie Redd', 'Chief Keef', 'A$AP Rocky', 'Lil Tecca', 'Travis Scott', 'Lil Durk']"
2Pac,"['The Notorious B.I.G.', 'Ice Cube', 'Eazy-E', 'N.W.A.', 'Dr. Dre', 'Bone Thugs-N-Harmony', 'Snoop Dogg', 'Makaveli', '50 Cent', 'Warren G', 'Nas', 'DMX', 'Nate Dogg', 'Mobb Deep', 'JAY-Z', 'Wu-Tang Clan', 'The Game', 'Method Man', 'Busta Rhymes', 'Westside Connection']"
311,"['Joy Division', 'Siouxsie and the Banshees', 'New Order', 'Bauhaus', 'Echo & the Bunnymen', 'The Smiths', 'Pixies', 'Morrissey', 'Sonic Youth', 'The Clash', 'Cocteau Twins', 'my bloody valentine', 'Blur', 'Slowdive', 'Depeche Mode', 'The Velvet Underground', 'Sisters of Mercy', 'The Smashing Pumpkins', 'Talking Heads', 'The Psychedelic Furs']"
38 Special,"['Night Ranger', 'Eddie Money', 'Loverboy', 'Billy Squier', 'Molly Hatchet', 'Sammy Hagar', 'Foghat', 'Bad Company', 'The J. Geils Band', 'Triumph', 'Damn Yankees', 'Aldo Nova', 'Styx', 'REO Speedwagon', 'Cheap Trick', 'The Marshall Tucker Band', 'April Wine', 'Rick Springfield', 'Jefferson Starship', 'Great White']"
3LW,"['Blaque', 'Brooke Valentine', 'Nivea', 'Danity Kane', 'Cherish', 'Kandi', 'Amanda Perez', 'B2K', 'Teairra Marí', ""Lil' Mo"", 'Mýa', '702', 'LeToya', 'Paula DeAnda', 'Tiffany Evans', 'B5', 'Christina Milian', 'Tweet', 'Frankie J', 'Total']"
